DATAFLOW,LAST UPDATE,freq,coicop18,statinfo,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Belgium,2020,137.95,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Belgium,2021,135.76,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Belgium,2022,132.03,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Belgium,2023,121.87,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Belgium,2024,141.13,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Belgium,2025,143.70,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Belgium,2026,145.41,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Bulgaria,2001,190.32,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Bulgaria,2002,190.04,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Bulgaria,2003,197.70,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Bulgaria,2004,204.97,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Bulgaria,2005,188.10,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Bulgaria,2006,178.20,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Bulgaria,2007,160.30,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Bulgaria,2008,153.36,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Bulgaria,2009,155.04,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Bulgaria,2010,151.86,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Bulgaria,2011,159.30,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Bulgaria,2012,161.96,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Bulgaria,2013,175.72,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Bulgaria,2014,158.52,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Bulgaria,2015,157.18,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Bulgaria,2016,155.07,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Bulgaria,2017,155.49,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Bulgaria,2018,162.53,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Bulgaria,2019,162.59,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Bulgaria,2020,163.86,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Bulgaria,2021,179.86,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Bulgaria,2022,182.28,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Bulgaria,2023,172.33,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Bulgaria,2024,171.84,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Bulgaria,2025,151.90,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Bulgaria,2026,156.65,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Switzerland,2015,264.70,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Switzerland,2016,273.75,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Switzerland,2017,261.88,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Switzerland,2018,257.60,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Switzerland,2019,254.39,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Switzerland,2020,259.57,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Switzerland,2021,281.50,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Switzerland,2022,266.74,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Switzerland,2023,257.60,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Switzerland,2024,264.91,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Switzerland,2025,303.41,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Switzerland,2026,258.27,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Cyprus,2001,74.82,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Cyprus,2002,71.30,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Cyprus,2003,69.76,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Cyprus,2004,71.68,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Cyprus,2005,77.15,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Cyprus,2006,83.73,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Cyprus,2007,85.52,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Cyprus,2008,86.48,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Cyprus,2009,91.74,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Cyprus,2010,90.92,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Cyprus,2011,100.01,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Cyprus,2012,105.65,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Cyprus,2013,103.24,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Cyprus,2014,99.41,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Cyprus,2015,94.66,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Cyprus,2016,84.67,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Cyprus,2017,89.24,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Cyprus,2018,102.08,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Cyprus,2019,108.88,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Cyprus,2020,136.03,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Cyprus,2021,127.53,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Cyprus,2022,120.96,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Cyprus,2023,131.87,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Cyprus,2024,126.15,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Cyprus,2025,123.66,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Cyprus,2026,147.76,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Czechia,2001,185.68,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Czechia,2002,189.77,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Czechia,2003,211.96,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Czechia,2004,192.60,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Czechia,2005,184.26,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Czechia,2006,195.39,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Czechia,2007,144.96,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Czechia,2008,141.04,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Czechia,2009,153.71,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Czechia,2010,142.04,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Czechia,2011,112.04,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Czechia,2012,111.78,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Czechia,2013,110.18,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Czechia,2014,107.32,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Czechia,2015,109.62,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Czechia,2016,101.83,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Czechia,2017,141.79,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Czechia,2018,141.67,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Czechia,2019,137.04,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Czechia,2020,137.32,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Czechia,2021,140.79,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Czechia,2022,130.82,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Czechia,2023,122.30,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Czechia,2024,143.57,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Czechia,2025,150.38,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Czechia,2026,170.89,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Germany,2001,178.31,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Germany,2002,179.00,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Germany,2003,180.41,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Germany,2004,181.91,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Germany,2005,180.13,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Germany,2006,178.95,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Germany,2007,158.19,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Germany,2008,130.56,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Germany,2009,130.19,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Germany,2010,130.02,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Germany,2011,129.29,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Germany,2012,140.63,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Germany,2013,132.74,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Germany,2014,132.27,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Germany,2015,141.49,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Germany,2016,146.47,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Germany,2017,138.97,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Germany,2018,137.95,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Germany,2019,123.29,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Germany,2020,115.02,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Germany,2021,146.58,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Germany,2022,116.73,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Germany,2023,166.36,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Germany,2024,122.85,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Germany,2025,132.55,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Germany,2026,140.62,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Denmark,2001,147.91,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Denmark,2002,149.28,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Denmark,2003,152.32,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Denmark,2004,156.57,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Denmark,2005,159.80,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Denmark,2006,159.34,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Denmark,2007,159.14,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Denmark,2008,157.17,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Denmark,2009,147.41,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Denmark,2010,150.81,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Denmark,2011,149.67,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Denmark,2012,161.88,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Denmark,2013,163.58,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Denmark,2014,164.14,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Denmark,2015,172.40,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Denmark,2016,159.32,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Denmark,2017,164.97,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Denmark,2018,169.07,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Denmark,2019,164.26,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Denmark,2020,161.82,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Denmark,2021,171.01,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Denmark,2022,160.22,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Denmark,2023,151.44,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Denmark,2024,155.07,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Denmark,2025,165.69,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,Denmark,2026,163.93,,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2001,144.84,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2002,142.91,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2003,140.68,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2004,141.67,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2005,138.83,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2006,134.05,d,
ESTAT:PRC_HICP_IW(1.0),20/05/26 11:00:00,Annual,Administered prices,Item weights,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2007,128.99,d,
